mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
5.004,0.81,1.802,0.114,0.442,0.245,2.604,7.246,0.0
7.135,0.845,0.892,0.098,0.366,0.211,1.567,5.144,0.0
7.663,0.847,0.562,0.079,0.349,0.195,1.185,4.783,0.0
8.091,0.848,0.605,0.076,0.348,0.198,1.227,4.186,0.0
7.809,0.856,0.481,0.067,0.326,0.182,1.056,4.1,0.0
8.475,0.856,0.49,0.065,0.329,0.168,1.052,4.078,0.0
8.596,0.854,0.47,0.064,0.341,0.18,1.055,4.272,0.0
8.835,0.857,0.43,0.07,0.333,0.174,1.008,3.945,0.0
8.721,0.861,0.416,0.062,0.326,0.166,0.971,4.131,0.0
8.324,0.86,0.384,0.062,0.336,0.167,0.949,4.024,0.0
8.224,0.868,0.379,0.058,0.311,0.156,0.904,3.891,0.0
8.493,0.856,0.348,0.053,0.336,0.163,0.9,4.017,0.0
8.698,0.855,0.391,0.06,0.331,0.157,0.938,3.978,0.0
8.823,0.868,0.457,0.058,0.306,0.159,0.981,3.832,0.0
8.323,0.862,0.403,0.061,0.319,0.154,0.937,4.293,0.0
7.749,0.868,0.315,0.056,0.316,0.154,0.841,3.941,0.0
8.34,0.859,0.415,0.061,0.317,0.159,0.953,3.902,0.0
7.991,0.863,0.32,0.056,0.312,0.145,0.833,3.929,0.0
8.344,0.866,0.251,0.054,0.317,0.152,0.773,3.866,0.0
8.37,0.864,0.319,0.05,0.311,0.148,0.829,3.826,0.0
7.925,0.857,0.376,0.054,0.322,0.153,0.905,3.9,0.0
8.439,0.87,0.295,0.048,0.314,0.152,0.808,3.965,0.0
8.601,0.874,0.246,0.047,0.291,0.144,0.728,3.65,0.0
8.679,0.868,0.283,0.048,0.307,0.146,0.784,3.757,0.0
8.754,0.856,0.228,0.046,0.316,0.135,0.725,3.887,0.0
9.171,0.865,0.344,0.05,0.316,0.148,0.858,4.04,0.0
8.67,0.868,0.34,0.05,0.312,0.141,0.843,3.833,0.0
9.077,0.873,0.295,0.049,0.3,0.145,0.79,3.861,0.0
8.135,0.876,0.313,0.046,0.296,0.136,0.791,3.808,0.0
8.477,0.875,0.254,0.044,0.296,0.126,0.72,3.858,0.0
8.821,0.867,0.334,0.047,0.299,0.131,0.811,3.936,0.0
9.304,0.86,0.282,0.05,0.321,0.141,0.794,3.797,0.0
8.592,0.88,0.274,0.047,0.281,0.132,0.733,3.827,0.0
